Row_ID,Order_ID,Order_Date,Ship_Date,Category,City,Country,Customer_ID,Customer_Name,Delivery_Pace,Delivery_Time,Month_Name,Postal_Code,Product_ID,Product_Name,Region,Sales,Segment,Ship_Mode,State,Sub_Category,Year
34,US-2016-150630,17-09-2016,21-09-2016,Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,Slow,4,September,19140,OFF-AR-10001683,Lumber Crayons,East,15.76,Consumer,Standard Class,Pennsylvania,Art,2016
35,CA-2018-107727,19-10-2018,23-10-2018,Office Supplies,Houston,United States,MA-17560,Matt Abelman,Slow,4,October,77095,OFF-PA-10000249,Easy-staple paper,Central,29.472,Home Office,Second Class,Texas,Paper,2018
36,CA-2017-117590,08-12-2017,10-12-2017,Technology,Richardson,United States,GH-14485,Gene Hale,Fast,2,December,75080,TEC-PH-10004977,GE 30524EE4,Central,1097.544,Corporate,First Class,Texas,Phones,2017
37,CA-2017-117590,08-12-2017,10-12-2017,Furniture,Richardson,United States,GH-14485,Gene Hale,Fast,2,December,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,190.92,Corporate,First Class,Texas,Furnishings,2017
38,CA-2016-117415,27-12-2016,31-12-2016,Office Supplies,Houston,United States,SN-20710,Steve Nguyen,Slow,4,December,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,113.328,Home Office,Standard Class,Texas,Envelopes,2016
39,CA-2016-117415,27-12-2016,31-12-2016,Furniture,Houston,United States,SN-20710,Steve Nguyen,Slow,4,December,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,532.3992,Home Office,Standard Class,Texas,Bookcases,2016
40,CA-2016-117415,27-12-2016,31-12-2016,Furniture,Houston,United States,SN-20710,Steve Nguyen,Slow,4,December,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,212.058,Home Office,Standard Class,Texas,Chairs,2016
41,CA-2016-117415,27-12-2016,31-12-2016,Technology,Houston,United States,SN-20710,Steve Nguyen,Slow,4,December,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,371.168,Home Office,Standard Class,Texas,Phones,2016
42,CA-2018-120999,10-09-2018,15-09-2018,Technology,Naperville,United States,LC-16930,Linda Cazamias,Slow,5,September,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,147.168,Corporate,Standard Class,Illinois,Phones,2018
43,CA-2017-101343,17-07-2017,22-07-2017,Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,Slow,5,July,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,77.88,Corporate,Standard Class,California,Storage,2017
44,CA-2018-139619,19-09-2018,23-09-2018,Office Supplies,Melbourne,United States,ES-14080,Erin Smith,Slow,4,September,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,95.616,Corporate,Standard Class,Florida,Storage,2018
45,CA-2017-118255,11-03-2017,13-03-2017,Technology,Eagan,United States,ON-18715,Odella Nelson,Fast,2,March,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45.98,Corporate,First Class,Minnesota,Accessories,2017
46,CA-2017-118255,11-03-2017,13-03-2017,Office Supplies,Eagan,United States,ON-18715,Odella Nelson,Fast,2,March,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,17.46,Corporate,First Class,Minnesota,Binders,2017
47,CA-2015-146703,20-10-2015,25-10-2015,Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,Slow,5,October,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,211.96,Consumer,Second Class,Michigan,Storage,2015
48,CA-2017-169194,20-06-2017,25-06-2017,Technology,Dover,United States,LH-16900,Lena Hernandez,Slow,5,June,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,45,Consumer,Standard Class,Delaware,Accessories,2017
49,CA-2017-169194,20-06-2017,25-06-2017,Technology,Dover,United States,LH-16900,Lena Hernandez,Slow,5,June,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,21.8,Consumer,Standard Class,Delaware,Phones,2017
50,CA-2016-115742,18-04-2016,22-04-2016,Office Supplies,New Albany,United States,DP-13000,Darren Powers,Slow,4,April,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,38.22,Consumer,Standard Class,Indiana,Binders,2016
51,CA-2016-115742,18-04-2016,22-04-2016,Office Supplies,New Albany,United States,DP-13000,Darren Powers,Slow,4,April,47150,OFF-LA-10002762,Avery 485,Central,75.18,Consumer,Standard Class,Indiana,Labels,2016
52,CA-2016-115742,18-04-2016,22-04-2016,Furniture,New Albany,United States,DP-13000,Darren Powers,Slow,4,April,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,6.16,Consumer,Standard Class,Indiana,Furnishings,2016
53,CA-2016-115742,18-04-2016,22-04-2016,Furniture,New Albany,United States,DP-13000,Darren Powers,Slow,4,April,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,89.99,Consumer,Standard Class,Indiana,Chairs,2016
54,CA-2017-105816,11-12-2017,17-12-2017,Office Supplies,New York City,United States,JM-15265,Janet Molinari,Slow,6,December,10024,OFF-FA-10000304,Advantus Push Pins,East,15.26,Corporate,Standard Class,New York,Fasteners,2017
55,CA-2017-105816,11-12-2017,17-12-2017,Technology,New York City,United States,JM-15265,Janet Molinari,Slow,6,December,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,1029.95,Corporate,Standard Class,New York,Phones,2017
56,CA-2017-111682,17-06-2017,18-06-2017,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,208.56,Consumer,First Class,New York,Storage,2017
57,CA-2017-111682,17-06-2017,18-06-2017,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,OFF-PA-10001569,Xerox 232,East,32.4,Consumer,First Class,New York,Paper,2017
58,CA-2017-111682,17-06-2017,18-06-2017,Furniture,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,319.41,Consumer,First Class,New York,Chairs,2017
59,CA-2017-111682,17-06-2017,18-06-2017,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,14.56,Consumer,First Class,New York,Paper,2017
60,CA-2017-111682,17-06-2017,18-06-2017,Technology,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,30,Consumer,First Class,New York,Accessories,2017
61,CA-2017-111682,17-06-2017,18-06-2017,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,OFF-BI-10001460,Plastic Binding Combs,East,48.48,Consumer,First Class,New York,Binders,2017
62,CA-2017-111682,17-06-2017,18-06-2017,Office Supplies,Troy,United States,TB-21055,Ted Butterfield,Fast,1,June,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,1.68,Consumer,First Class,New York,Art,2017
63,CA-2016-135545,24-11-2016,30-11-2016,Technology,Los Angeles,United States,KM-16720,Kunst Miller,Slow,6,November,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,13.98,Consumer,Standard Class,California,Accessories,2016
64,CA-2016-135545,24-11-2016,30-11-2016,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,Slow,6,November,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,25.824,Consumer,Standard Class,California,Binders,2016
65,CA-2016-135545,24-11-2016,30-11-2016,Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,Slow,6,November,90004,OFF-PA-10003892,Xerox 1943,West,146.73,Consumer,Standard Class,California,Paper,2016
66,CA-2016-135545,24-11-2016,30-11-2016,Furniture,Los Angeles,United States,KM-16720,Kunst Miller,Slow,6,November,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,79.76,Consumer,Standard Class,California,Furnishings,2016
67,US-2016-164175,30-04-2016,05-05-2016,Furniture,Chicago,United States,PS-18970,Paul Stevenson,Slow,5,April,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,213.115,Home Office,Standard Class,Illinois,Chairs,2016
68,CA-2015-106376,05-12-2015,10-12-2015,Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,Slow,5,December,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,1113.024,Corporate,Standard Class,Arizona,Art,2015
69,CA-2015-106376,05-12-2015,10-12-2015,Technology,Gilbert,United States,BS-11590,Brendan Sweed,Slow,5,December,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,167.968,Corporate,Standard Class,Arizona,Phones,2015
70,CA-2017-119823,04-06-2017,06-06-2017,Office Supplies,Springfield,United States,KD-16270,Karen Daniels,Fast,2,June,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,75.88,Consumer,First Class,Virginia,Paper,2017
71,CA-2017-106075,18-09-2017,23-09-2017,Office Supplies,New York City,United States,HM-14980,Henry MacAllister,Slow,5,September,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,4.616,Consumer,Standard Class,New York,Binders,2017
72,CA-2018-114440,14-09-2018,17-09-2018,Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,Fast,3,September,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,19.05,Consumer,Second Class,Michigan,Paper,2018
73,US-2016-134026,26-04-2016,02-05-2016,Furniture,Memphis,United States,JE-15745,Joel Eaton,Slow,6,April,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,831.936,Consumer,Standard Class,Tennessee,Chairs,2016
74,US-2016-134026,26-04-2016,02-05-2016,Furniture,Memphis,United States,JE-15745,Joel Eaton,Slow,6,April,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,97.04,Consumer,Standard Class,Tennessee,Furnishings,2016
75,US-2016-134026,26-04-2016,02-05-2016,Office Supplies,Memphis,United States,JE-15745,Joel Eaton,Slow,6,April,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,72.784,Consumer,Standard Class,Tennessee,Storage,2016
76,US-2018-118038,09-12-2018,11-12-2018,Office Supplies,Houston,United States,KB-16600,Ken Brennan,Fast,2,December,77041,OFF-BI-10004182,Economy Binders,Central,1.248,Corporate,First Class,Texas,Binders,2018
77,US-2018-118038,09-12-2018,11-12-2018,Furniture,Houston,United States,KB-16600,Ken Brennan,Fast,2,December,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,9.708,Corporate,First Class,Texas,Furnishings,2018
78,US-2018-118038,09-12-2018,11-12-2018,Office Supplies,Houston,United States,KB-16600,Ken Brennan,Fast,2,December,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,27.24,Corporate,First Class,Texas,Storage,2018
79,US-2015-147606,26-11-2015,01-12-2015,Furniture,Houston,United States,JE-15745,Joel Eaton,Slow,5,November,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,19.3,Consumer,Second Class,Texas,Furnishings,2015
80,CA-2017-127208,12-06-2017,15-06-2017,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,Fast,3,June,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,208.16,Corporate,First Class,Alabama,Appliances,2017
81,CA-2017-127208,12-06-2017,15-06-2017,Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,Fast,3,June,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,16.74,Corporate,First Class,Alabama,Binders,2017
82,CA-2015-139451,12-10-2015,16-10-2015,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,Slow,4,October,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,14.9,Consumer,Standard Class,California,Art,2015
83,CA-2015-139451,12-10-2015,16-10-2015,Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,Slow,4,October,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,21.39,Consumer,Standard Class,California,Storage,2015
84,CA-2016-149734,03-09-2016,08-09-2016,Office Supplies,Durham,United States,JC-16105,Julie Creighton,Slow,5,September,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,200.984,Corporate,Standard Class,North Carolina,Envelopes,2016
85,US-2018-119662,13-11-2018,16-11-2018,Office Supplies,Chicago,United States,CS-12400,Christopher Schild,Fast,3,November,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,230.376,Home Office,First Class,Illinois,Storage,2018
86,CA-2018-140088,28-05-2018,30-05-2018,Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,Fast,2,May,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,301.96,Consumer,Second Class,South Carolina,Chairs,2018
87,CA-2018-155558,26-10-2018,02-11-2018,Technology,Rochester,United States,PG-18895,Paul Gonzalez,Slow,7,October,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,19.99,Consumer,Standard Class,Minnesota,Accessories,2018
88,CA-2018-155558,26-10-2018,02-11-2018,Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,Slow,7,October,55901,OFF-LA-10000134,Avery 511,Central,6.16,Consumer,Standard Class,Minnesota,Labels,2018
89,CA-2017-159695,05-04-2017,10-04-2017,Office Supplies,Houston,United States,GM-14455,Gary Mitchum,Slow,5,April,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,158.368,Home Office,Second Class,Texas,Storage,2017
90,CA-2017-109806,17-09-2017,22-09-2017,Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,Slow,5,September,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,20.1,Corporate,Standard Class,California,Art,2017
91,CA-2017-109806,17-09-2017,22-09-2017,Technology,Los Angeles,United States,JS-15685,Jim Sink,Slow,5,September,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,73.584,Corporate,Standard Class,California,Phones,2017
92,CA-2017-109806,17-09-2017,22-09-2017,Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,Slow,5,September,90036,OFF-PA-10000304,Xerox 1995,West,6.48,Corporate,Standard Class,California,Paper,2017
93,CA-2016-149587,31-01-2016,05-02-2016,Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,Slow,5,January,55407,OFF-PA-10003177,Xerox 1999,Central,12.96,Consumer,Second Class,Minnesota,Paper,2016
94,CA-2016-149587,31-01-2016,05-02-2016,Furniture,Minneapolis,United States,KB-16315,Karl Braun,Slow,5,January,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,53.34,Consumer,Second Class,Minnesota,Furnishings,2016
95,CA-2016-149587,31-01-2016,05-02-2016,Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,Slow,5,January,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,32.96,Consumer,Second Class,Minnesota,Binders,2016
96,US-2018-109484,06-11-2018,12-11-2018,Office Supplies,Portland,United States,RB-19705,Roger Barcio,Slow,6,November,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,5.682,Home Office,Standard Class,Oregon,Binders,2018
97,CA-2018-161018,09-11-2018,11-11-2018,Furniture,New York City,United States,PN-18775,Parhena Norris,Fast,2,November,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,96.53,Home Office,Second Class,New York,Furnishings,2018
98,CA-2018-157833,17-06-2018,20-06-2018,Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,Fast,3,June,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,51.312,Consumer,First Class,California,Binders,2018
99,CA-2017-149223,06-09-2017,11-09-2017,Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,Slow,5,September,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,77.88,Corporate,Standard Class,Minnesota,Appliances,2017
100,CA-2017-158568,29-08-2017,02-09-2017,Office Supplies,Chicago,United States,RB-19465,Rick Bensley,Slow,4,August,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,64.624,Home Office,Standard Class,Illinois,Paper,2017
101,CA-2017-158568,29-08-2017,02-09-2017,Technology,Chicago,United States,RB-19465,Rick Bensley,Slow,4,August,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,95.976,Home Office,Standard Class,Illinois,Accessories,2017
102,CA-2017-158568,29-08-2017,02-09-2017,Office Supplies,Chicago,United States,RB-19465,Rick Bensley,Slow,4,August,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,1.788,Home Office,Standard Class,Illinois,Binders,2017
103,CA-2017-129903,01-12-2017,04-12-2017,Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,Fast,3,December,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,23.92,Consumer,Second Class,Minnesota,Paper,2017
104,US-2016-156867,13-11-2016,17-11-2016,Technology,Aurora,United States,LC-16870,Lena Cacioppo,Slow,4,November,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,238.896,Consumer,Standard Class,Colorado,Accessories,2016
105,US-2016-156867,13-11-2016,17-11-2016,Furniture,Aurora,United States,LC-16870,Lena Cacioppo,Slow,4,November,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,102.36,Consumer,Standard Class,Colorado,Furnishings,2016
106,US-2016-156867,13-11-2016,17-11-2016,Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,Slow,4,November,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,36.882,Consumer,Standard Class,Colorado,Binders,2016
107,CA-2018-119004,23-11-2018,28-11-2018,Technology,Charlotte,United States,JM-15250,Janet Martin,Slow,5,November,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,74.112,Consumer,Standard Class,North Carolina,Accessories,2018
